ID,FLAG_OWN_CAR,FLAG_OWN_REALTY,OWN_CAR_AGE
56723,Y,Y,3.0
56724,N,Y,
56725,N,N,
56726,N,Y,
56727,Y,Y,13.0
56728,N,N,
56729,N,Y,
56730,N,Y,
56731,N,Y,
56732,N,N,
56733,Y,Y,64.0
56734,N,N,
56735,N,Y,
56736,N,Y,
56737,N,N,
56738,N,Y,
56739,N,N,
56740,Y,Y,4.0
56741,Y,Y,9.0
56742,Y,Y,13.0
56743,N,Y,
56744,N,N,
56745,Y,N,6.0
56746,N,N,
56747,N,Y,
56748,Y,Y,3.0
56749,N,N,
56750,N,Y,
56751,Y,Y,5.0
56752,Y,Y,22.0
56753,Y,N,5.0
56754,Y,Y,4.0
56755,N,Y,
56756,Y,Y,6.0
56757,N,Y,
56758,N,Y,
56759,N,N,
56760,N,Y,
56761,N,Y,
56762,N,Y,
56763,N,N,
56764,N,Y,
56765,Y,N,7.0
56766,Y,Y,2.0
56767,N,Y,
56768,N,N,
56769,Y,Y,8.0
56770,N,N,
56771,N,N,
56772,Y,N,0.0
56773,Y,Y,5.0
56774,N,Y,
56775,N,Y,
56776,N,Y,
56777,N,Y,
56778,N,Y,
56779,N,N,
56780,N,Y,
56781,Y,Y,13.0
56782,N,Y,
56783,N,N,
56784,Y,Y,6.0
56785,N,N,
56786,Y,N,1.0
56787,N,Y,
56788,N,N,
56789,N,Y,
56790,N,Y,
56791,N,N,
56792,N,Y,
56793,N,Y,
56794,N,Y,
56795,N,Y,
56796,Y,N,17.0
56797,N,Y,
56798,Y,N,3.0
56799,N,Y,
56800,N,N,
56801,Y,Y,8.0
56802,Y,Y,15.0
56803,Y,N,7.0
56804,N,Y,
56805,N,Y,
56806,N,N,
56807,Y,Y,10.0
56808,N,N,
56809,N,Y,
56810,Y,N,6.0
56811,Y,Y,13.0
56812,Y,N,28.0
56813,N,Y,
56814,Y,Y,30.0
56815,Y,Y,21.0
56816,N,Y,
56817,N,Y,
56818,Y,Y,36.0
56819,N,Y,
56820,Y,N,7.0
56821,Y,Y,8.0
56822,N,Y,
56823,N,N,
56824,N,Y,
56825,N,N,
56826,N,Y,
56827,Y,N,11.0
56828,Y,Y,4.0
56829,N,Y,
56830,Y,Y,11.0
56831,Y,N,1.0
56832,N,Y,
56833,N,Y,
56834,N,N,
56835,Y,Y,18.0
56836,N,Y,
56837,N,Y,
56838,N,Y,
56839,N,N,
56840,N,N,
56841,N,Y,
56842,N,Y,
56843,N,Y,
56844,N,Y,
56845,N,N,
56846,Y,Y,13.0
56847,N,N,
56848,N,Y,
56849,Y,Y,7.0
56850,N,Y,
56851,N,Y,
56852,Y,Y,5.0
56853,Y,N,36.0
56854,Y,Y,14.0
56855,N,Y,
56856,N,N,
56857,Y,Y,20.0
56858,Y,Y,8.0
56859,N,Y,
56860,Y,N,2.0
56861,N,N,
56862,N,Y,
56863,N,N,
56864,N,Y,
56865,Y,Y,3.0
56866,N,Y,
56867,Y,Y,10.0
56868,Y,Y,8.0
56869,Y,Y,64.0
56870,N,Y,
56871,Y,Y,23.0
56872,N,N,
56873,Y,N,24.0
56874,Y,Y,12.0
56875,Y,Y,46.0
56876,N,Y,
56877,N,N,
56878,N,Y,
56879,N,N,
56880,Y,N,10.0
56881,Y,Y,22.0
56882,N,Y,
56883,Y,Y,8.0
56884,N,N,
56885,N,Y,
56886,N,Y,
56887,N,Y,
56888,N,Y,
56889,N,N,
56890,N,N,
56891,Y,Y,12.0
56892,N,Y,
56893,Y,N,15.0
56894,Y,N,16.0
56895,Y,Y,10.0
56896,Y,N,64.0
56897,N,Y,
56898,N,Y,
56899,Y,N,10.0
56900,N,Y,
56901,N,Y,
56902,Y,Y,0.0
56903,Y,Y,21.0
56904,N,Y,
56905,Y,N,16.0
56906,Y,Y,18.0
56907,N,N,
56908,N,Y,
56909,Y,Y,10.0
56910,N,Y,
56911,N,N,
56912,N,Y,
56913,N,N,
56914,N,N,
56915,N,Y,
56916,N,Y,
56917,N,Y,
56918,Y,N,11.0
56919,Y,Y,1.0
56920,Y,N,6.0
56921,N,Y,
56922,Y,N,11.0
56923,N,N,
56924,N,Y,
56925,N,N,
56926,Y,Y,13.0
56927,N,N,
56928,N,N,
56929,Y,Y,16.0
56930,Y,N,29.0
56931,N,Y,
56932,Y,Y,21.0
56933,N,N,
56934,N,Y,
56935,N,N,
56936,Y,N,3.0
56937,Y,Y,14.0
56938,N,N,
56939,N,Y,
56940,N,Y,
56941,N,N,
56942,N,Y,
56943,Y,Y,17.0
56944,N,Y,
56945,N,N,
56946,N,Y,
56947,Y,Y,2.0
56948,N,N,
56949,N,N,
56950,N,Y,
56951,N,N,
56952,Y,N,3.0
56953,Y,Y,20.0
56954,N,Y,
56955,N,N,
56956,Y,Y,1.0
56957,N,Y,
56958,N,Y,
56959,Y,Y,26.0
56960,Y,Y,3.0
56961,N,Y,
56962,N,Y,
56963,N,N,
56964,Y,Y,1.0
56965,Y,Y,12.0
56966,N,Y,
56967,Y,N,14.0
56968,Y,N,4.0
56969,Y,Y,13.0
56970,Y,N,18.0
56971,N,N,
56972,N,Y,
56973,N,Y,
56974,N,Y,
56975,N,Y,
56976,Y,Y,10.0
56977,N,N,
56978,N,Y,
56979,N,Y,
56980,N,Y,
56981,N,N,
56982,N,Y,
56983,N,Y,
56984,Y,Y,3.0
56985,N,Y,
56986,Y,N,6.0
56987,Y,N,16.0
56988,N,Y,
56989,N,Y,
56990,Y,Y,19.0
56991,Y,N,23.0
56992,N,Y,
56993,Y,Y,18.0
56994,N,N,
56995,N,Y,
56996,Y,N,24.0
56997,N,Y,
56998,Y,Y,2.0
56999,N,Y,
57000,N,Y,
57001,N,Y,
57002,Y,Y,14.0
57003,N,Y,
57004,N,Y,
57005,N,Y,
57006,N,Y,
57007,N,Y,
57008,N,Y,
57009,N,Y,
57010,Y,Y,64.0
57011,Y,N,6.0
57012,N,Y,
57013,N,N,
57014,Y,Y,31.0
57015,Y,N,11.0
57016,N,Y,
57017,Y,Y,2.0
57018,Y,Y,7.0
57019,N,Y,
57020,N,N,
57021,N,Y,
57022,N,Y,
57023,N,N,
57024,Y,N,14.0
57025,Y,Y,1.0
57026,Y,Y,2.0
57027,N,Y,
57028,N,Y,
57029,Y,Y,25.0
57030,Y,N,4.0
57031,N,N,
57032,N,N,
57033,N,Y,
57034,N,Y,
57035,N,Y,
57036,N,Y,
57037,Y,Y,1.0
57038,N,Y,
57039,N,Y,
57040,Y,Y,12.0
57041,N,Y,
57042,N,Y,
57043,N,Y,
57044,N,Y,
57045,Y,Y,36.0
57046,N,N,
57047,Y,N,1.0
57048,N,N,
57049,N,Y,
57050,N,Y,
57051,N,Y,
57052,N,Y,
57053,N,N,
57054,Y,N,10.0
57055,N,Y,
57056,Y,N,6.0
57057,N,N,
57058,N,N,
57059,N,N,
57060,N,N,
57061,N,Y,
57062,Y,Y,19.0
57063,N,N,
57064,N,Y,
57065,Y,Y,1.0
57066,N,Y,
57067,N,N,
57068,N,Y,
57069,N,N,
57070,Y,Y,6.0
57071,N,N,
57072,Y,Y,12.0
57073,Y,N,2.0
57074,Y,Y,12.0
57075,Y,Y,2.0
57076,Y,N,2.0
57077,Y,Y,29.0
57078,Y,Y,6.0
57079,Y,Y,5.0
57080,N,Y,
57081,N,Y,
57082,N,Y,
57083,N,N,
57084,N,Y,
57085,N,Y,
57086,Y,Y,14.0
57087,Y,Y,4.0
57088,N,N,
57089,N,N,
57090,Y,Y,2.0
57091,Y,N,11.0
57092,Y,Y,1.0
57093,N,Y,
57094,N,Y,
57095,N,Y,
57096,N,Y,
57097,Y,Y,19.0
57098,N,Y,
57099,N,Y,
57100,Y,N,12.0
57101,N,Y,
57102,Y,Y,6.0
57103,N,N,
57104,N,Y,
57105,Y,Y,13.0
57106,Y,N,11.0
57107,N,Y,
57108,N,N,
57109,N,N,
57110,Y,Y,8.0
57111,N,N,
57112,N,N,
57113,N,Y,
57114,N,Y,
57115,Y,N,6.0
57116,N,N,
57117,N,Y,
57118,Y,Y,4.0
57119,N,N,
57120,N,Y,
57121,Y,Y,19.0
57122,N,Y,
57123,N,Y,
57124,N,Y,
57125,Y,Y,10.0
57126,N,Y,
57127,N,Y,
57128,N,N,
57129,Y,Y,2.0
57130,Y,Y,10.0
57131,Y,Y,2.0
57132,N,Y,
57133,N,Y,
57134,Y,Y,25.0
57135,N,Y,
57136,Y,N,65.0
57137,Y,Y,5.0
57138,N,Y,
57139,Y,N,16.0
57140,N,N,
57141,N,Y,
57142,Y,N,64.0
57143,N,Y,
57144,N,Y,
57145,N,Y,
57146,N,Y,
57147,Y,N,9.0
57148,N,Y,
57149,N,Y,
57150,N,Y,
57151,Y,Y,7.0
57152,Y,Y,18.0
57153,N,Y,
57154,N,N,
57155,N,N,
57156,N,N,
57157,Y,N,11.0
57158,N,Y,
57159,Y,Y,19.0
57160,Y,Y,14.0
57161,Y,Y,11.0
57162,N,N,
57163,N,N,
57164,Y,Y,5.0
57165,Y,Y,2.0
57166,N,Y,
57167,Y,N,15.0
57168,N,N,
57169,Y,N,23.0
57170,N,Y,
57171,Y,Y,2.0
57172,N,Y,
57173,Y,N,8.0
57174,Y,N,2.0
57175,N,Y,
57176,N,Y,
57177,N,Y,
57178,Y,N,27.0
57179,N,N,
57180,N,Y,
57181,N,Y,
57182,N,Y,
57183,N,N,
57184,Y,Y,7.0
57185,Y,Y,3.0
57186,N,N,
57187,Y,Y,7.0
57188,Y,N,11.0
57189,Y,Y,2.0
57190,Y,N,8.0
57191,Y,Y,2.0
57192,N,N,
57193,N,Y,
57194,N,N,
57195,N,Y,
57196,Y,Y,20.0
57197,N,Y,
57198,N,Y,
57199,Y,N,8.0
57200,N,N,
57201,N,Y,
57202,Y,Y,7.0
57203,N,Y,
57204,N,N,
57205,Y,N,4.0
57206,Y,N,9.0
57207,N,Y,
57208,N,Y,
57209,Y,N,24.0
57210,Y,Y,11.0
57211,N,Y,
57212,N,Y,
57213,N,Y,
57214,N,Y,
57215,Y,N,14.0
57216,N,Y,
57217,Y,Y,2.0
57218,N,Y,
57219,N,N,
57220,Y,Y,65.0
57221,N,Y,
57222,Y,Y,12.0
57223,Y,Y,4.0
57224,N,Y,
57225,N,Y,
57226,Y,Y,12.0
57227,Y,Y,2.0
57228,N,N,
57229,N,N,
57230,N,Y,
57231,N,N,
57232,N,Y,
57233,N,N,
57234,N,Y,
57235,Y,Y,20.0
57236,Y,Y,12.0
57237,Y,Y,8.0
57238,N,Y,
57239,N,N,
57240,N,N,
57241,N,N,
57242,Y,Y,15.0
57243,N,Y,
57244,Y,Y,8.0
57245,Y,Y,11.0
57246,N,N,
57247,N,Y,
57248,Y,Y,0.0
57249,Y,N,3.0
57250,N,N,
57251,N,Y,
57252,Y,Y,12.0
57253,Y,N,11.0
57254,N,N,
57255,N,Y,
57256,N,Y,
57257,N,N,
57258,Y,Y,2.0
57259,N,N,
57260,N,Y,
57261,Y,Y,18.0
57262,N,Y,
57263,N,Y,
57264,N,N,
57265,N,Y,
57266,N,Y,
57267,Y,N,6.0
57268,N,N,
57269,N,Y,
57270,Y,N,4.0
57271,Y,Y,0.0
57272,N,Y,
57273,Y,N,12.0
57274,N,Y,
57275,Y,Y,11.0
57276,N,Y,
57277,N,Y,
57278,N,Y,
57279,N,Y,
57280,N,N,
57281,N,Y,
57282,Y,Y,16.0
57283,Y,Y,18.0
57284,N,N,
57285,N,N,
57286,N,N,
57287,N,N,
57288,N,Y,
57289,N,Y,
57290,Y,N,22.0
57291,N,Y,
57292,Y,N,13.0
57293,N,Y,
57294,N,Y,
57295,N,N,
57296,N,N,
57297,N,N,
57298,N,Y,
57299,N,N,
57300,Y,Y,23.0
57301,Y,Y,8.0
57302,N,N,
57303,Y,Y,19.0
57304,Y,N,6.0
57305,Y,Y,13.0
57306,N,Y,
57307,N,Y,
57308,N,Y,
57309,N,Y,
57310,N,Y,
57311,N,N,
57312,N,Y,
57313,N,Y,
57314,Y,Y,8.0
57315,N,Y,
57316,Y,Y,1.0
57317,N,Y,
57318,N,Y,
57319,N,Y,
57320,N,Y,
57321,N,Y,
57322,N,N,
57323,Y,Y,7.0
57324,Y,N,15.0
57325,N,Y,
57326,N,Y,
57327,N,Y,
57328,N,Y,
57329,N,Y,
57330,N,Y,
57331,N,Y,
57332,N,N,
57333,N,Y,
57334,Y,N,6.0
57335,Y,N,3.0
57336,Y,N,12.0
57337,N,Y,
57338,Y,Y,8.0
57339,N,Y,
57340,Y,Y,21.0
57341,N,Y,
57342,N,Y,
57343,N,Y,
57344,N,Y,
57345,Y,N,8.0
57346,Y,Y,4.0
57347,N,Y,
57348,N,Y,
57349,N,Y,
57350,N,Y,
57351,N,Y,
57352,N,Y,
57353,Y,Y,3.0
57354,N,N,
57355,N,Y,
57356,Y,Y,64.0
57357,Y,Y,26.0
57358,Y,Y,39.0
57359,Y,Y,6.0
57360,Y,Y,9.0
57361,N,Y,
57362,Y,Y,17.0
57363,Y,N,6.0
57364,N,Y,
57365,N,Y,
57366,N,N,
57367,N,N,
57368,N,Y,
57369,N,Y,
57370,N,N,
57371,N,Y,
57372,N,Y,
57373,N,Y,
57374,Y,Y,5.0
57375,N,Y,
57376,N,Y,
57377,Y,Y,10.0
57378,Y,Y,1.0
57379,N,Y,
57380,Y,N,6.0
57381,N,Y,
57382,N,N,
57383,N,Y,
57384,N,Y,
57385,N,Y,
57386,N,Y,
57387,Y,N,2.0
57388,N,Y,
57389,N,Y,
57390,N,N,
57391,Y,N,15.0
57392,N,Y,
57393,N,Y,
57394,N,Y,
57395,Y,Y,3.0
57396,Y,Y,64.0
57397,N,N,
57398,N,N,
57399,N,Y,
57400,N,Y,
57401,N,Y,
57402,N,N,
57403,N,Y,
57404,Y,Y,28.0
57405,N,Y,
57406,Y,Y,13.0
57407,Y,N,10.0
57408,N,Y,
57409,Y,Y,10.0
57410,Y,Y,11.0
57411,N,Y,
57412,N,Y,
57413,N,N,
57414,Y,Y,1.0
57415,N,Y,
57416,N,Y,
57417,N,Y,
57418,N,N,
57419,N,Y,
57420,N,Y,
57421,N,Y,
57422,Y,N,12.0
57423,N,N,
57424,N,Y,
57425,N,Y,
57426,N,Y,
57427,N,Y,
57428,N,N,
57429,Y,N,14.0
57430,N,Y,
57431,N,N,
57432,N,N,
57433,N,Y,
57434,N,Y,
57435,Y,Y,15.0
57436,Y,Y,36.0
57437,N,N,
57438,N,Y,
57439,N,Y,
57440,Y,Y,6.0
57441,Y,N,2.0
57442,N,Y,
57443,Y,N,19.0
57444,N,Y,
57445,Y,Y,15.0
57446,Y,Y,9.0
57447,Y,Y,8.0
57448,N,Y,
57449,N,Y,
57450,N,Y,
57451,N,N,
57452,N,Y,
57453,Y,N,18.0
57454,N,Y,
57455,N,Y,
57456,Y,Y,14.0
57457,N,Y,
57458,N,Y,
57459,Y,N,4.0
57460,N,Y,
57461,N,Y,
57462,Y,Y,10.0
57463,N,Y,
57464,N,Y,
57465,N,Y,
57466,N,Y,
57467,N,Y,
57468,N,Y,
57469,N,N,
57470,N,Y,
57471,N,Y,
57472,N,Y,
57473,N,Y,
57474,Y,Y,2.0
57475,Y,Y,2.0
57476,Y,Y,5.0
57477,Y,Y,8.0
57478,Y,Y,7.0
57479,N,Y,
57480,N,Y,
57481,N,Y,
57482,N,Y,
57483,N,Y,
57484,Y,Y,14.0
57485,Y,Y,3.0
57486,Y,Y,8.0
57487,N,Y,
57488,Y,Y,8.0
57489,Y,N,7.0
57490,N,N,
57491,Y,N,19.0
57492,N,N,
57493,N,Y,
57494,Y,N,6.0
57495,N,Y,
57496,Y,Y,5.0
57497,Y,Y,2.0
57498,Y,N,64.0
57499,Y,Y,10.0
57500,N,Y,
57501,N,Y,
57502,Y,Y,20.0
57503,N,Y,
57504,Y,Y,6.0
57505,Y,N,31.0
57506,Y,Y,3.0
57507,Y,Y,4.0
57508,N,N,
57509,N,Y,
57510,Y,N,20.0
57511,Y,Y,4.0
57512,Y,Y,35.0
57513,N,N,
57514,N,N,
57515,N,Y,
57516,N,Y,
57517,N,Y,
57518,N,Y,
57519,N,Y,
57520,Y,N,3.0
57521,Y,Y,38.0
57522,Y,N,13.0
57523,N,Y,
57524,Y,N,9.0
57525,N,Y,
57526,N,Y,
57527,Y,N,15.0
57528,N,Y,
57529,N,N,
57530,Y,Y,16.0
57531,N,Y,
57532,N,Y,
57533,N,Y,
57534,N,N,
57535,N,N,
57536,N,Y,
57537,N,Y,
57538,N,N,
57539,N,N,
57540,N,Y,
57541,N,Y,
57542,N,Y,
57543,Y,N,13.0
57544,Y,Y,14.0
57545,N,Y,
57546,N,Y,
57547,Y,N,2.0
57548,N,Y,
57549,N,Y,
57550,N,Y,
57551,Y,N,10.0
57552,N,Y,
57553,N,Y,
57554,Y,Y,3.0
57555,N,Y,
57556,Y,Y,10.0
57557,N,Y,
57558,Y,Y,7.0
57559,N,Y,
57560,N,Y,
57561,N,Y,
57562,N,Y,
57563,N,Y,
57564,N,N,
57565,N,Y,
57566,N,Y,
57567,N,Y,
57568,Y,Y,10.0
57569,Y,Y,25.0
57570,Y,Y,6.0
57571,Y,Y,6.0
57572,Y,Y,1.0
57573,Y,Y,2.0
57574,N,Y,
57575,N,Y,
57576,Y,Y,14.0
57577,N,Y,
57578,N,Y,
57579,Y,N,11.0
57580,N,Y,
57581,N,Y,
57582,N,Y,
57583,N,N,
57584,Y,N,1.0
57585,N,N,
57586,N,Y,
57587,Y,Y,8.0
57588,N,Y,
57589,N,Y,
57590,Y,Y,12.0
57591,Y,N,2.0
57592,Y,Y,9.0
57593,N,N,
57594,N,N,
57595,N,Y,
57596,Y,Y,1.0
57597,N,Y,
57598,N,Y,
57599,Y,Y,17.0
57600,Y,Y,1.0
57601,Y,N,9.0
57602,N,N,
57603,N,Y,
57604,N,N,
57605,N,N,
57606,N,Y,
57607,Y,Y,4.0
57608,Y,N,12.0
57609,Y,Y,4.0
57610,N,Y,
57611,N,Y,
57612,N,Y,
57613,N,Y,
57614,N,Y,
57615,Y,Y,16.0
57616,N,Y,
57617,N,Y,
57618,N,Y,
57619,Y,N,2.0
57620,Y,Y,4.0
57621,N,N,
57622,N,Y,
57623,Y,Y,8.0
57624,N,Y,
57625,N,Y,
57626,N,Y,
57627,Y,Y,7.0
57628,N,Y,
57629,Y,N,5.0
57630,N,Y,
57631,N,N,
57632,N,Y,
57633,N,Y,
57634,N,Y,
57635,N,N,
57636,Y,Y,14.0
57637,N,Y,
57638,N,Y,
57639,N,Y,
57640,N,Y,
57641,N,Y,
57642,Y,Y,1.0
57643,N,N,
57644,N,N,
57645,N,N,
57646,Y,Y,14.0
57647,N,Y,
57648,N,Y,
57649,Y,N,7.0
57650,N,N,
57651,N,Y,
57652,N,Y,
57653,N,Y,
57654,Y,Y,9.0
57655,N,Y,
57656,N,N,
57657,N,Y,
57658,N,Y,
57659,Y,Y,16.0
57660,Y,Y,18.0
57661,Y,Y,18.0
57662,N,Y,
57663,N,Y,
57664,Y,Y,6.0
57665,N,Y,
57666,N,Y,
57667,N,N,
57668,Y,N,5.0
57669,N,Y,
57670,Y,Y,10.0
57671,N,Y,
57672,N,N,
57673,N,Y,
57674,Y,Y,1.0
57675,N,Y,
57676,N,Y,
57677,Y,N,18.0
57678,N,Y,
57679,N,Y,
57680,N,N,
57681,N,N,
57682,N,Y,
57683,N,Y,
57684,Y,Y,19.0
57685,N,Y,
57686,N,N,
57687,Y,Y,8.0
57688,N,N,
57689,N,Y,
57690,N,Y,
57691,N,N,
57692,N,Y,
57693,Y,Y,10.0
57694,N,N,
57695,Y,N,1.0
57696,Y,N,11.0
57697,N,Y,
57698,N,Y,
57699,N,Y,
57700,Y,Y,12.0
57701,Y,Y,16.0
57702,Y,Y,14.0
57703,Y,Y,2.0
57704,Y,Y,27.0
57705,N,Y,
57706,N,N,
57707,Y,Y,2.0
57708,N,Y,
57709,Y,Y,27.0
57710,Y,Y,18.0
57711,N,Y,
57712,N,Y,
57713,Y,Y,11.0
57714,Y,Y,12.0
57715,Y,Y,18.0
57716,Y,Y,4.0
57717,Y,N,3.0
57718,N,N,
57719,N,Y,
57720,Y,Y,25.0
57721,N,N,
57722,N,Y,
57723,N,N,
57724,N,Y,
57725,Y,Y,6.0
57726,N,Y,
57727,N,N,
57728,Y,Y,9.0
57729,Y,N,11.0
57730,N,Y,
57731,Y,Y,15.0
57732,N,Y,
57733,Y,Y,17.0
57734,N,N,
57735,Y,Y,7.0
57736,N,Y,
57737,N,Y,
57738,Y,Y,16.0
57739,N,Y,
57740,N,N,
57741,N,N,
57742,N,Y,
57743,N,N,
57744,Y,N,0.0
57745,Y,Y,7.0
57746,Y,Y,1.0
57747,N,Y,
57748,N,Y,
57749,N,Y,
57750,Y,Y,7.0
57751,N,Y,
57752,N,Y,
57753,N,Y,
57754,Y,N,4.0
57755,Y,N,7.0
57756,N,Y,
57757,N,Y,
57758,Y,Y,19.0
57759,N,N,
57760,N,Y,
57761,N,Y,
57762,Y,Y,3.0
57763,N,Y,
57764,N,Y,
57765,Y,Y,24.0
57766,N,Y,
57767,Y,Y,64.0
57768,N,Y,
57769,Y,Y,16.0
57770,Y,Y,0.0
57771,N,N,
57772,N,N,
57773,N,Y,
57774,Y,Y,4.0
57775,N,N,
57776,Y,Y,7.0
57777,Y,N,21.0
57778,Y,Y,9.0
57779,N,N,
57780,N,Y,
57781,Y,Y,13.0
57782,N,Y,
57783,N,Y,
57784,N,N,
57785,N,Y,
57786,N,Y,
57787,N,Y,
57788,N,N,
57789,Y,Y,5.0
57790,N,Y,
57791,Y,Y,14.0
57792,N,Y,
57793,N,Y,
57794,N,Y,
57795,N,N,
57796,Y,Y,12.0
57797,N,N,
57798,N,Y,
57799,Y,N,4.0
57800,N,Y,
57801,Y,Y,23.0
57802,Y,N,1.0
57803,N,Y,
57804,Y,Y,4.0
57805,Y,Y,18.0
57806,Y,N,7.0
57807,N,N,
57808,N,Y,
57809,N,N,
57810,Y,N,11.0
57811,N,N,
57812,N,Y,
57813,N,Y,
57814,N,N,
57815,N,Y,
57816,N,Y,
57817,N,Y,
57818,N,N,
57819,N,Y,
57820,N,N,
57821,N,Y,
57822,Y,Y,30.0
57823,Y,Y,9.0
57824,N,N,
57825,Y,N,25.0
57826,Y,Y,6.0
57827,N,N,
57828,Y,N,10.0
57829,N,Y,
57830,Y,Y,5.0
57831,N,Y,
57832,Y,N,11.0
57833,Y,Y,23.0
57834,N,N,
57835,Y,Y,8.0
57836,N,Y,
57837,N,Y,
57838,N,Y,
57839,N,Y,
57840,N,Y,
57841,N,Y,
57842,N,Y,
57843,Y,N,5.0
57844,N,Y,
57845,N,N,
57846,N,Y,
57847,N,Y,
57848,N,Y,
57849,N,Y,
57850,N,Y,
57851,N,N,
57852,Y,Y,17.0
57853,N,Y,
57854,N,N,
57855,N,N,
57856,N,Y,
57857,N,Y,
57858,N,N,
57859,N,Y,
57860,N,Y,
57861,N,N,
57862,N,Y,
57863,N,Y,
57864,N,Y,
57865,N,Y,
57866,N,Y,
57867,N,Y,
57868,N,N,
57869,N,N,
57870,Y,N,6.0
57871,N,N,
57872,Y,N,10.0
57873,Y,Y,29.0
57874,N,Y,
57875,N,Y,
57876,Y,Y,7.0
57877,N,N,
57878,N,N,
57879,Y,Y,13.0
57880,Y,N,8.0
57881,N,N,
57882,Y,Y,10.0
57883,N,Y,
57884,N,Y,
57885,Y,N,14.0
57886,Y,Y,24.0
57887,Y,Y,8.0
57888,N,Y,
57889,Y,N,13.0
57890,N,Y,
57891,N,N,
57892,N,N,
57893,Y,Y,20.0
57894,Y,Y,14.0
57895,Y,N,4.0
57896,Y,Y,15.0
57897,N,Y,
57898,Y,Y,6.0
57899,Y,Y,26.0
57900,Y,Y,14.0
57901,N,Y,
57902,N,Y,
57903,Y,Y,6.0
57904,Y,Y,2.0
57905,N,N,
57906,Y,Y,13.0
57907,N,Y,
57908,N,Y,
57909,N,Y,
57910,N,Y,
57911,N,Y,
57912,Y,Y,7.0
57913,N,N,
57914,Y,Y,27.0
57915,Y,Y,16.0
57916,N,Y,
57917,N,Y,
57918,N,Y,
57919,N,Y,
57920,Y,N,11.0
57921,N,Y,
57922,Y,Y,1.0
57923,Y,Y,6.0
57924,N,N,
57925,N,N,
57926,N,N,
57927,Y,N,14.0
57928,Y,Y,8.0
57929,Y,Y,1.0
57930,Y,Y,16.0
57931,N,Y,
57932,Y,Y,14.0
57933,Y,N,9.0
57934,N,Y,
57935,Y,N,8.0
57936,N,Y,
57937,N,Y,
57938,N,N,
57939,N,Y,
57940,N,N,
57941,N,Y,
57942,Y,Y,1.0
57943,N,N,
57944,N,Y,
57945,N,N,
57946,N,Y,
57947,Y,Y,25.0
57948,N,Y,
57949,N,N,
57950,Y,N,2.0
57951,Y,N,6.0
57952,Y,Y,26.0
57953,N,Y,
57954,N,N,
57955,N,N,
57956,N,N,
57957,N,Y,
57958,Y,Y,11.0
57959,N,Y,
57960,N,N,
57961,Y,Y,5.0
57962,N,Y,
57963,N,Y,
57964,N,Y,
57965,Y,Y,17.0
57966,Y,Y,6.0
57967,Y,N,23.0
57968,Y,Y,7.0
57969,Y,N,14.0
57970,N,N,
57971,N,N,
57972,Y,N,12.0
57973,Y,Y,25.0
57974,N,Y,
57975,Y,Y,12.0
57976,N,Y,
57977,Y,N,21.0
57978,Y,Y,13.0
57979,N,N,
57980,Y,N,13.0
57981,N,Y,
57982,N,Y,
57983,N,Y,
57984,Y,Y,13.0
57985,N,Y,
57986,N,Y,
57987,N,Y,
57988,Y,Y,10.0
57989,N,Y,
57990,Y,Y,25.0
57991,Y,N,2.0
57992,Y,Y,9.0
57993,N,N,
57994,Y,Y,20.0
57995,Y,N,10.0
57996,N,Y,
57997,Y,Y,10.0
57998,N,N,
57999,Y,N,17.0
58000,Y,Y,8.0
58001,N,N,
58002,N,Y,
58003,N,Y,
58004,Y,Y,8.0
58005,Y,Y,35.0
58006,Y,Y,25.0
58007,Y,N,4.0
58008,N,Y,
58009,N,Y,
58010,Y,N,0.0
58011,N,N,
58012,Y,N,42.0
58013,N,Y,
58014,N,Y,
58015,Y,Y,1.0
58016,N,Y,
58017,N,Y,
58018,N,N,
58019,Y,N,64.0
58020,N,N,
58021,N,Y,
58022,N,Y,
58023,Y,Y,6.0
58024,N,Y,
58025,Y,Y,8.0
58026,N,Y,
58027,Y,N,11.0
58028,N,N,
58029,Y,Y,29.0
58030,N,Y,
58031,N,Y,
58032,Y,N,9.0
58033,N,Y,
58034,N,Y,
58035,N,Y,
58036,Y,Y,1.0
58037,Y,Y,9.0
58038,Y,Y,14.0
58039,N,N,
58040,N,Y,
58041,N,N,
58042,Y,Y,23.0
58043,N,Y,
58044,Y,Y,29.0
58045,N,N,
58046,N,N,
58047,N,Y,
58048,N,N,
58049,N,Y,
58050,N,Y,
58051,N,Y,
58052,N,Y,
58053,Y,Y,3.0
58054,N,N,
58055,Y,Y,8.0
58056,N,Y,
58057,Y,Y,9.0
58058,N,Y,
58059,Y,N,11.0
58060,N,Y,
58061,Y,N,2.0
58062,N,Y,
58063,N,Y,
58064,N,Y,
58065,N,N,
58066,N,Y,
58067,N,Y,
58068,N,Y,
58069,N,N,
58070,N,Y,
58071,Y,Y,42.0
58072,N,N,
58073,Y,N,14.0
58074,Y,Y,6.0
58075,N,Y,
58076,Y,Y,6.0
58077,N,Y,
58078,Y,Y,15.0
58079,Y,Y,5.0
58080,N,Y,
58081,N,Y,
58082,Y,Y,4.0
58083,N,Y,
58084,Y,Y,6.0
58085,Y,Y,3.0
58086,Y,Y,3.0
58087,Y,Y,14.0
58088,N,Y,
58089,N,Y,
58090,Y,Y,10.0
58091,N,Y,
58092,N,N,
58093,N,Y,
58094,N,Y,
58095,N,N,
58096,N,Y,
